№,Name:,Description:,Price:,Image Url:
1,BMW 7 серии,"2017г.,3л.,автоматседан,дизельрульслева,120000км",$ 43 500,https://im.mashina.kg/tachka/images//8/0/9/809b5e8b8cc2fc7b6841ebcefbf2f357_240x180.jpg
2,Lexus LX,"2016г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,98000км",$ 88 000,https://im.mashina.kg/tachka/images//3/f/2/3f2a5fd27ff8e31945843feb709b14a4_240x180.jpg
3,Land Rover Range Rover,"2013г.,5л.,автоматвнедорожник5дв.,бензинрульслева,140000км",$ 38 500,https://im.mashina.kg/tachka/images//8/1/4/814495b1e1eca58529f807d81680a048_240x180.jpg
4,Kia Sportage,"2021г.,2л.,автоматвнедорожник5дв.,дизельрульслева,14600км",$ 33 000,https://im.mashina.kg/tachka/images//4/f/8/4f8ef4cea6eab545bc76e7d9a75a04b8_240x180.jpg
5,Mercedes-Benz GL-класс,"2013г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,237000км",$ 49 000,https://im.mashina.kg/tachka/images//3/c/3/3c3b95a417eec0348dc3c20ce8c32d96_240x180.jpg
6,BYD Han,"2022г.,автоматседан,электрорульслева,140км",$ 43 000,https://im.mashina.kg/tachka/images//c/1/2/c121352f140bcbaf71fa276793eb2f73_240x180.jpg
7,Geely Monjaro,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,10км",$ 32 200,https://im.mashina.kg/tachka/images//6/0/4/604266eb7b11a61bf5033fb34c3a0a07_240x180.jpg
8,Geely Preface,"2023г.,2л.,роботседан,бензинрульслева,20км",$ 25 500,https://im.mashina.kg/tachka/images//e/b/a/ebae887c7b1c59a16579c19100f8791f_240x180.jpg
9,Mercedes-Benz C-Класс AMG,"2017г.,4л.,автоматседан,бензинрульслева,97000км",$ 65 000,https://im.mashina.kg/tachka/images//a/d/5/ad508080a5f8ba24920fda5e49419914_240x180.jpg
10,Lexus GX,"2005г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,220000км",$ 22 300,https://im.mashina.kg/tachka/images//0/8/9/089e2bf6fece451b245a49be50f6d965_240x180.jpg
